,0
PKLuv,0
PKP,0
PSD,0
PhantomSei,0
Pillz,0
Placeholder Jenkins M-B3,0
Placeholder Jenkins M-B5,0
Placeholder Jenkins M-B6,0
Placeholder Jenkins M-C2,0
Placeholder Jenkins M-D3,0
PlaceholderJenkins MB5-2,0
PyjamaSam,0
Qu,0
RM,0
Rahma Noodles,0
ReallyBadFalcon,0
Reg,0
Revilo2112,0
Ricklicks,0
SKRRTLE,0
SKidd,0
SamBreezy,0
SammyBoy,0
Shallow,0
Shamowzow,0
Shikari,0
SkipperQc,0
Skwid,0
Smashfoxgod,0
Sombrero,0
Sony Erickson,0
Spell,0
Sphalt,0
Spike,0
Spirits,0
SpiritsAway,0
Splish,0
Spuneey,0
SquidHat,0
Staz,0
StepDaddy,0
StrawmelonSplash,0
Stupor,0
SuitUpAlex,0
Sukmahtoes,0
Super Blessed,0
Swoov,0
TK$,0
Tarn,0
Tax Evader,0
TechNick,0
Teebah,0
The Stoned Dutchman,0
TheGuy,0
Thunder Chicken,0
TimeMuffin,0
TipC,0
Toooni,0
Toundra,0
Tr3j0s,0
Traxamillion,0
TriggaTrev,0
Triple A,0
Tubby,0
UnseeingOrange,0
VANS,0
Valor,0
Varaetia,0
Vell,0
WILD CAT MAN,0
Wasted,0
Waves,0
Weed,0
Wes Nile,0
WetFarts,0
Wheat,0
White,0
Wiki,0
Willoiko,0
Wimblemore,0
Wipes,0
WorldStar,0
Wuzyin,0
X250,0
Xgouki,0
Xiivi,0
YaBoiChazzy,0
YamaNeko,0
Yushin,0
Zanya,0
Zeldafan,0
Zen,0
Zeyre,0
Zoap,0
aReEeNeN,0
allotheabove,0
amorris,0
axolotl,0
bSharp,0
boback,0
bumpkin,0
celestial,0
cheeeezball,0
chuckles,0
cloud_ocean,0
cutiecake,0
devon183,0
didact,0
doctorbattle,0
fine,0
folp,0
ggpeteq,0
horsecock69,0
hot,0
jand,0
joey,0
jofis,0
jos,0
kaede,0
kellyintheaisle,0
koki,0
koro sensei,0
luigi master tae,0
lula,0
magnolia,0
mapes,0
markyeet,0
melvenorc12,0
mrbundles,0
myst,0
onlyfans/ComputerPlus,0
pakman3999,0
powkitty4,0
pri8771,0
racehans,0
raff,0
rockslide,0
rzk,0
shadefizzle,0
silentspectre,0
sizzle,0
skru,0
sleepy,0
slopers-gonna-slope,0
snugglyboy,0
solar anus,0
sway,0
theycallmeJzrh,0
trgon519,0
tustin,0
vutop,0
watergod steven :),0
wawasi,0
whomp,0
yummypoopooosnatcher,0
ziriam,0
ztatik,0
Penn,-4.39E-05
Gooch,-0.00281799
Rollie,-0.004870838
Stylos,-0.005575162
ATM,-0.007381205
Tank,-0.011022272
Quesadillas,-0.014882226
HannyDoon,-0.015047015
TK,-0.015238843
Professor Pizza,-0.016711559
Ryse,-0.019127327
ThundeRzReiGN~,-0.023574938
route man,-0.029442739
Maximo,-0.030364412
Furniture,-0.040923732
BooWho,-0.041054787
MDSR,-0.042987311
Ramrow,-0.048334205
Lewyn,-0.056733334
DMa,-0.05713798
NinjagoFan72,-0.063460831
Sporsinick,-0.065737768
Cam Bailey,-0.066779286
FKN Silver,-0.068589247
chickncup,-0.071010476
Edric,-0.073612488
smed,-0.074998071
beld78,-0.078592991
three,-0.07949861
musigh,-0.079557705
CALE,-0.079980272
SpiderJew,-0.086053353
QTP,-0.088683076
WabM,-0.090675447
RyGuy,-0.094716775
Fate,-0.095843992
SpecialK,-0.096420575
Cob,-0.098004756
MonsterTipper,-0.099020071
Zofrea,-0.10069759
Faust,-0.103318027
Tetris,-0.104879305
Joshuwasha,-0.111559466
Arcade,-0.114849179
dayfly,-0.114958496
Timtheguy,-0.119257288
KoRT,-0.119678846
avenu,-0.120102008
BonkCushy,-0.125093016
Enemy,-0.129033403
Jumper,-0.133605123
Dante,-0.134678319
Maxinator,-0.134871879
Frink,-0.137931434
Uma Thurman,-0.139995106
Fats,-0.147153094
Grab2Win,-0.148909123
nala,-0.152074472
The Sandwich Man,-0.15215994
Turtles,-0.152280878
BryD,-0.153919834
CawRiN,-0.158357845
Afghans,-0.158906809
Frool,-0.159612717
slacks,-0.170570275
Arel,-0.17289826
Luma,-0.173298378
Kidder,-0.174215864
BluePinata,-0.175374986
Mantis,-0.176942079
greenwalk,-0.177019564
Length Plank,-0.179146797
Digital Cannon,-0.186718913
Crono,-0.186952844
Uffda,-0.187115323
fatnomen,-0.188866916
takyon,-0.191221974
TheLegend27,-0.196225999
Happymealz,-0.196538742
Hungry Pigeon,-0.197688394
Akio,-0.198796301
Pulch,-0.200127839
ShakeDrizzle,-0.200375151
DUBS,-0.200610195
KMann,-0.201669592
baka4moe,-0.202685698
A_E_D,-0.204366556
Bee,-0.204960033
Jeffe,-0.20993672
Wafox,-0.212980441
PAMEX,-0.214642173
Dabooze,-0.215695799
Jubei,-0.216726811
goatlink,-0.220454452
CHON,-0.221426317
blem,-0.222080405
Carlito,-0.224832361
JuggaKnott,-0.227087514
Connorasada,-0.229012917
jiga,-0.229729629
Eleven,-0.229887615
Crispy King,-0.230950822
Dutch,-0.231549447
Slarti,-0.233075812
RewinD,-0.234082068
MurMur,-0.236686808
Russian,-0.237795816
OneSun,-0.241714985
key,-0.243925444
MasterDong,-0.244825744
Timteee,-0.247560894
Spaghetti policy,-0.249382387
ChuWii,-0.250401878
Neuron,-0.250593571
Keams,-0.255000922
Card,-0.257654432
Tyku,-0.258933227
Shippu,-0.259426023
Mio,-0.260894114
Beeftip,-0.261608967
zaubermaus,-0.262571251
StickyDaki,-0.266248026
Toph,-0.266424552
sushi knight,-0.266710244
Pikachu942,-0.267849508
Cowhunter,-0.271818418
Shoox,-0.272805953
dansdaman,-0.275623443
PassionFlakes,-0.281052748
Sunday School,-0.281437232
Camerino,-0.282483542
Scooter Dave,-0.282564698
Backpack,-0.283210674
Floodplane,-0.283898243
PBnD,-0.28447582
jzzz,-0.285351655
BreaK,-0.28815807
Red Lego,-0.28962182
Brr,-0.291402008
The Baberman,-0.291487696
Janco,-0.291641486
Moriarty,-0.293616416
QAnondorf,-0.295190435
Kit,-0.295656346
Fokc,-0.296776808
Absentminded,-0.299798671
Krook,-0.303332786
