,Score
Steebn,44.138662832778934
needles,44.0786658429906
Nangs,43.995037127551
fenceturtle,43.963962616876486
Vivi,43.89627982380247
Gap Moe,43.87973958376028
Professor Pizza,43.75482318629105
Ba$$,43.72589597812262
Sandy,43.356530726772746
Nava,43.353759448969754
Currypuffs,43.30226916453521
Lil Chief,43.24034548459012
Diakodark,43.15420374777011
Quil,43.079910359384094
Chobin,43.00546046942945
yung Ullrich,42.86460944589781
Aluf,42.72263664847533
dronin,42.690539848579114
NVZ,42.30474778500003
Athesies,42.14742204674458
Roryx,42.146373385266855
vugzi,42.06982445401279
Snow Halation,42.03720294600597
Darktooth,42.032566677943535
Manu,41.57202589696067
Galou,41.565406107673596
persephone,41.50220949306549
Marah,41.47766108394811
Cpt Darling,41.46943127044804
Captain Pretzel,41.44689259595788
Fishbait,41.303079339523904
aka,41.21451695197206
Oceanman,41.20939139601509
Zach Danger,41.09974541186934
Smymo,41.03577961223063
KeanuReads,41.0018395136545
Davox22,40.89480954361822
Sept,40.881135885727396
MrChiconator,40.8036674049886
Fekah,40.75653545500491
Stazz,40.71207437058888
Papadav3,40.4438240195952
Morrito,40.41395792069528
Skaug,40.37204718811529
Rek,40.21889716512166
Verdant,40.03625506801555
Neck,39.92396078555983
GranmasGotGame,39.88245659200434
Aubergine,39.87862103710194
Moe,39.753193190769885
Webwipe,39.740403382140784
PRZ,39.69760783585476
Phil,39.673101425909586
Vusey,39.63299035542785
Symbol,39.57946268096166
Gulu,39.571929297022535
phil,39.51169395573328
Poilon,39.436338360956285
Smeef,39.40455106902244
Andreas,39.29203900348822
coup,39.050009072621044
fall,39.038805957032764
DerFasan,38.98206009661294
Avigdor,38.97651624984067
Emilia,38.79083648288896
Tummy,38.781342588367636
23,38.60630763041229
Busy Boi,38.51912306525398
bn3,38.40550206298193
vizr,38.35554493480917
Stro,38.32547375293403
Jacoby,38.265386207176505
Dirty Lasagna,38.22916663452539
flowerdog,38.224265663860805
Icelink,38.08067038805774
Milf~n~Cookies,38.03787730585857
darkwizard123,38.013560701698914
Taisu,37.97569763254816
WiLD,37.89123551562704
Rich,37.786315988299236
JKJ,37.34364282285939
smed,37.317009131374235
Asiago,37.215627400682806
Makenshi,37.19696941304975
zck,37.14181626289641
Cantus,37.109784306170354
El Link,36.8990010475473
MM720,36.86214129363047
Saul,36.814353547370104
TribalK,36.74720804410259
brokenyew,36.707720022169426
Veggietales,36.697921398219016
Kongee,36.51131753368806
Grothagt,36.50158280010919
Pedlar,36.42742219304
Larfen,36.420228175545276
Fraggy,36.22051243413329
Big D,36.156819527809446
RustyPan,36.12812594511823
Air,35.68226749988077
CornCobKing,35.60884058008182
Spy,35.592561710725846
Rev,35.55375784906519
Dai,35.50238310009109
s-f,35.443343548832374
Anchovy,35.32254264790882
Hoppalot22,35.29256138894233
Vex Kasrani,35.24964854744772
Ears,35.23832271956941
voorhese,35.21499669928167
PT,35.1716977583486
Chickenzzzzzzzz,35.1122983411117
Pancakes,34.92024727230273
Timebones,34.88485022599765
stylonius,34.83239745084098
arby,34.732141728496885
Riley,34.68305868609902
Lein,34.578007774308126
The Wanderer,34.41151495768504
Vigilance,34.370313389747224
Liberate,34.35823230929981
Omar,34.322253076741504
Fleeby,34.28197402599784
Rodney,34.26836021090753
KBarry,34.202364202096064
Nojump,34.12112450470708
Tekk,34.112638440988675
willieboytheman,33.897948250377695
DiMaria,33.87425906822393
King Funk,33.594612216545954
Thexy,33.58307676587792
Diltune2,33.37743187316681
Juice,33.28138470277415
ghettoblush,33.251640880918224
FF,33.02215822411985
Woo,32.97715727643978
Nabtah,32.93672117424114
TreyTheTrashman,32.91983157138253
boat girl,32.903100419815715
Freky,32.81620994487389
Kopaka,32.81500030408551
TEP,32.807637530559475
Zedy,32.633809926553994
Marco,32.585160711278796
Aiika,32.538334313285624
Onto,32.45943374141554
Matt Smith,32.374495057994764
Wet William,32.357992263736385
AbsentPage,32.33961365119056
Hollow,32.3078199513898
Redd,32.28055846044724
Wingwa,32.058429279930344
Inngenn,31.98205553515683
hamyojo,31.957872907276254
smopup,31.757969383666726
Melo,31.66476012510371
Pig,31.643546934700023
Hagabooga,31.561111243807204
soccermom69,31.52889122624977
Dirtboy,31.401335762892344
hot,31.274684153544904
GetCrabby,31.10694730079517
Ken 2,31.105046277013095
Basic Stitch,31.054686904047646
bakedgoods,30.92310762443005
Rawbob,30.734417232004777
Jeffthecheff,30.624269514216337
Ping,30.578402929768714
Fr0mage,30.52130993304398
ILikeTurtles,30.378757104544135
Chib,30.348683718059434
Pastry,30.34273915930614
X-Rey,30.33199559079883
One Truth,30.224532546142797
Aujory Sr.,30.195622664356208
shake,30.06280157931991
Legion,30.05775588768105
BQ,30.05397620668331
Poleon,30.005577985309895
Sanne,29.943011924980578
Tuesday,29.39009720790733
Cailan,29.386139043624958
WAMatt,29.334071582662716
forestdweller,29.31364610100756
LaRosa,29.25014295789564
MousSe,29.17312398145947
Aiken,29.09766826892303
Stylo,29.09074909666269
Crogunk,29.042930021998917
Trigabyte,28.997830680959122
astar,28.897719938797444
David 2,28.890889255506885
Kong,28.888620830327014
LuigiKid,28.834890924978573
Not Gosu,28.71786499282158
Boyd,28.606774891118885
chris,28.561577646597886
MMG | Seven,28.520253530006144
TzD,28.440907455961252
Poseidon,28.367829368753362
Linksolidus,28.346248952153374
YoulaAlice,28.210765556057254
Mombacat,28.140721610523812
uguf,28.136052928890066
CawkMuncher9000,28.12549681471984
Phade,28.11851626211924
BFG JBM,28.11622681520114
UnclePunch,27.992847118527678
Yung John,27.811468491771627
Jo$ha,27.750870884057093
Mistico,27.711322859010252
Exotic,27.661564532535834
CHAPATIROLL,27.65064818283461
Starburst,27.611947173734617
Start_fox,27.60112073901618
bandi,27.441565301182713
Azusa,27.41886725568773
Weavile,27.402515034833325
Yardsale,27.247902034207986
BasicStitch,27.24413137930831
Ferd,27.228836693723885
